Site_code_LR,Occ_laufnr,Yearocc
DELRT016,3752,2000
DELRT016,3704,2003
DELRT016,3746,2000
DELRT016,3747,2000
DELRT016,3751,2000
DELRT016,3739,1999
DELRT016,3685,1997
DELRT016,3691,1998
DELRT016,3744,2000
DELRT016,3749,2000
DELRT016,3748,2000
DELRT016,3707,2004
DELRT016,3706,2004
DELRT016,3684,1997
DELRT016,3687,1997
DELRT016,3690,1998
DELRT016,3688,1998
DELRT016,3695,1999
DELRT016,3736,1999
DELRT016,3686,1997
DELRT016,3705,2003
DELRT016,3699,2000
DELRT016,3743,2000
DELRT016,3741,1999
DELRT016,3750,2000
DELRT016,3698,2000
DELRT016,3693,1999
DELRT016,3745,2000
DELRT016,3694,1999
DELRT016,3742,1999
DELRT016,3740,1999
DELRT016,3692,1999
DELRT016,3689,1998
DELRT016,3696,2000
DELRT016,3737,1999
DELRT016,3738,1999
DELRT016,3697,2000
DELRT016,3700,2001
DELRT019,3673,1997
DELRT019,3674,1998
DELRT019,3675,1999
DELRT019,3662,1998
DELRT019,3664,1999
DELRT019,3660,1997
DELRT019,3661,1998
DELRT019,3663,1999
DELRT019,3666,2000
DELRT019,3665,2000
DELRT019,3667,2001
DELRT019,3659,1997
DELRT019,3668,2001
DELRT019,3670,2002
DELRT019,3669,2002
DELRT019,3672,2003
DELRT019,3671,2003
DELRT017,3783,2000
DELRT017,3779,1998
DELRT017,3780,1999
DELRT017,3781,2000
DELRT017,3782,2000
DELRT017,3778,1997
DELRT017,3773,1999
DELRT017,3777,2000
DELRT017,3768,1997
DELRT017,3770,1998
DELRT017,3772,1999
DELRT017,3774,2000
DELRT017,3767,1997
DELRT017,3805,2000
DELRT017,3775,2000
DELRT017,3776,2000
DELRT017,3769,1998
DELRT017,3771,1999
DELRT017,3810,2000
DELRT017,3803,1999
DELRT017,3801,1999
DELRT017,3813,2000
DELRT017,3809,2000
DELRT017,3807,2000
DELRT017,3806,2000
DELRT017,3811,2000
DELRT017,3802,1999
DELRT017,3804,1999
DELRT017,3808,2000
DELRT017,3799,1999
DELRT017,3812,2000
DELRT017,3800,1999
DELR01,3304,2008
PL_WIDO11,2695,1998
PL_WIDO12,2697,1998
PL_WIDO12,2696,1998
PL_WIDO03_SO,2672,1998
UA632,4853,2007
UA631,4852,2007
RO671,4670,2007
RO672,4671,2007
RO673,4672,2007
DELR1479N,1098,2002
BG373,4425,2007
BG375,4427,2007
